City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Puerto Leguizamo,CO,81.79,broken clouds,-0.1934,-74.7819,la casona de juancho
418,Northbrook,US,80.98,clear sky,42.1275,-87.8289,Courtyard by Marriott Chicago Deerfield
421,Beyneu,KZ,84.7,clear sky,45.3167,55.2,NUR
424,Portland,US,83.55,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
434,Mountain Home,US,78.28,clear sky,43.133,-115.6912,Mountain Home Inn
452,Katsuura,JP,79.25,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
453,Bubaque,GW,80.19,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
455,Marsh Harbour,BS,84.43,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
463,Sterling,US,78.28,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
464,Mattru,SL,81.61,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
470,Muriae,BR,81.84,few clouds,-21.1306,-42.3664,Premium Plaza Hotel
475,Samarai,PG,78.3,overcast clouds,-10.6167,150.6667,Nuli Sapi
478,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
485,Klamath Falls,US,78.87,clear sky,42.2249,-121.7817,"Holiday Inn Express & Suites Klamath Falls Central, an IHG Hotel"
496,Barra Patuca,HN,82.54,scattered clouds,15.8,-84.2833,
498,Pemangkat,ID,78.6,overcast clouds,1.1667,108.9667,Ramah Kost KITA
505,Marapanim,BR,84.38,overcast clouds,-0.7175,-47.6997,Ecomangue Pousada
513,Tomatlan,MX,82.87,overcast clouds,19.9333,-105.25,El Salvial
515,Salinopolis,BR,82.76,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
524,Penticton,CA,83.59,few clouds,49.4806,-119.5858,Penticton Lakeside Resort & Conference Centre
527,Bac Lieu,VN,81.59,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
533,Maun,BW,78.76,clear sky,-19.9833,23.4167,Enviro Villa
539,Peniche,PT,79.29,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
544,San Policarpo,PH,79.61,overcast clouds,12.1791,125.5072,Agapita M. Nicart
