City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Sambava,MG,-14.2667,50.1667,70.86,78,28,11.34,scattered clouds
297,Barzas,RU,55.7167,86.3167,56.12,93,52,1.63,broken clouds
298,Rio Gallegos,AR,-51.6226,-69.2181,32.05,69,0,6.91,clear sky
299,Assiniboia,CA,49.6334,-105.9845,66.02,59,37,9.22,scattered clouds
300,Santa Catalina,PH,9.3337,122.8637,79.72,86,100,2.73,overcast clouds
301,Oytal,KZ,42.9057,73.2697,83.77,23,4,5.17,clear sky
302,Tigil,RU,57.8,158.6667,45.19,82,69,5.66,broken clouds
303,Porto Novo,BJ,6.4965,2.6036,80.42,83,99,11.1,overcast clouds
304,Narsaq,GL,60.9167,-46.05,57.42,84,94,5.64,overcast clouds
305,Los Llanos De Aridane,ES,28.6585,-17.9182,82.15,42,0,14.97,clear sky
306,Pitiquito,MX,30.7,-112.0833,86.52,52,62,6.33,broken clouds
307,Emba,KZ,48.8264,58.1442,74.25,49,43,5.55,scattered clouds
308,Salalah,OM,17.0151,54.0924,77.09,100,100,4.61,light intensity drizzle
309,Yenagoa,NG,4.9247,6.2642,77.13,86,100,7.4,overcast clouds
310,Ranong,TH,9.9658,98.6348,79.5,86,45,2.86,scattered clouds
311,Mao,ES,39.8885,4.2658,82.96,51,0,16.11,clear sky
312,Port Lincoln,AU,-34.7333,135.8667,53.19,74,78,10.92,broken clouds
313,Baghdad,IQ,33.3406,44.4009,102.11,12,0,8.05,clear sky
314,Sawakin,SD,19.1059,37.3321,98.37,39,99,14.94,overcast clouds
315,Stettler,CA,52.3168,-112.7186,66.74,100,23,6.91,few clouds
316,Khanpur,PK,28.6453,70.6567,92.89,56,99,10.54,overcast clouds
317,Vigrestad,NO,58.5667,5.7,53.28,83,100,29.75,overcast clouds
318,Nantucket,US,41.2835,-70.0995,84.34,75,0,8.05,clear sky
319,Guiratinga,BR,-16.3494,-53.7583,91.18,21,1,7.65,clear sky
320,Zaysan,KZ,47.4667,84.8667,69.13,25,40,8.3,scattered clouds
321,Moose Factory,CA,51.2585,-80.6094,59.0,77,75,5.75,broken clouds
322,Mount Pleasant,US,32.7941,-79.8626,91.31,70,20,10.36,few clouds
323,Bonavista,CA,48.6499,-53.1147,69.1,77,99,18.07,overcast clouds
324,Tottori,JP,35.5,134.2333,75.09,93,3,3.49,clear sky
325,Vila Velha,BR,-20.3297,-40.2925,80.55,78,40,11.5,scattered clouds
326,Provideniya,RU,64.3833,-173.3,41.4,77,63,6.53,broken clouds
327,Chernyshevskiy,RU,63.0128,112.4714,68.94,81,1,2.33,clear sky
328,Esfarayen,IR,37.0765,57.5101,74.86,38,37,13.27,scattered clouds
329,Pangody,RU,65.85,74.4859,55.76,65,96,9.17,overcast clouds
330,Mar Del Plata,AR,-38.0023,-57.5575,59.02,56,100,2.3,overcast clouds
331,Takab,IR,36.4009,47.1133,80.2,22,54,7.49,broken clouds
332,Sabha,LY,27.0377,14.4283,96.84,11,18,10.27,few clouds
333,Aklavik,CA,68.2191,-135.0107,63.43,58,100,10.27,light rain
334,Hamilton,US,39.1834,-84.5333,73.72,90,100,8.05,mist
335,Cascais,PT,38.6979,-9.4215,84.06,60,20,19.57,few clouds
